starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 08 20:57:27 2013	1365447447	0	96	96	63
Mon Apr 08 20:57:23 2013	1365447443	0	96	96	62
Mon Apr 08 20:58:04 2013	1365447484	0	96	96	65
Mon Apr 08 20:57:17 2013	1365447437	0	96	96	86
Mon Apr 08 20:57:29 2013	1365447449	0	96	96	74
Mon Apr 08 20:57:52 2013	1365447472	0	96	96	75
Mon Apr 08 20:57:52 2013	1365447472	0	95	96	51
Mon Apr 08 20:58:02 2013	1365447482	0	96	96	57
Mon Apr 08 20:57:11 2013	1365447431	0	96	96	84
Mon Apr 08 20:57:20 2013	1365447440	0	96	96	76
Mon Apr 08 20:57:17 2013	1365447437	0	96	96	92
Mon Apr 08 20:57:15 2013	1365447435	0	96	96	78
Mon Apr 08 20:58:03 2013	1365447483	0	96	96	72
Mon Apr 08 20:57:33 2013	1365447453	0	96	96	62
Mon Apr 08 20:57:14 2013	1365447434	0	96	96	79
Mon Apr 08 20:57:56 2013	1365447476	0	96	96	61
Mon Apr 08 20:57:37 2013	1365447457	0	95	96	32
Mon Apr 08 20:58:04 2013	1365447484	0	96	96	64
Mon Apr 08 20:57:49 2013	1365447469	0	96	96	78
Mon Apr 08 20:57:39 2013	1365447459	0	96	96	67
Mon Apr 08 20:57:41 2013	1365447461	0	96	96	68
Mon Apr 08 20:57:12 2013	1365447432	0	96	96	73
Mon Apr 08 20:57:27 2013	1365447447	0	96	96	72
Mon Apr 08 20:57:12 2013	1365447432	1	95	96	74
